,item_identifier,item_weight,item_fat_content,item_visibility,item_type,item_mrp,outlet_identifier,outlet_establishment_year,outlet_size,outlet_location_type,outlet_type,item_outlet_sales
15,NCB30,14.600000381469727,Low Fat,0.025698134,Household,196.50840759277344,OUT035,2004,Small,Tier 2,Supermarket Type1,1587.2672
16,FDR28,13.850000381469727,Regular,0.025896485,Frozen Foods,165.02099609375,OUT046,1997,Small,Tier 1,Supermarket Type1,4078.025
17,FDV10,7.644999980926514,Regular,0.066693437,Snack Foods,42.31119918823242,OUT035,2004,Small,Tier 2,Supermarket Type1,1065.28
18,DRJ59,11.649999618530273,low fat,0.019356132,Hard Drinks,39.11640167236328,OUT013,1987,High,Tier 3,Supermarket Type1,308.9312
19,NCS17,18.600000381469727,Low Fat,0.080829372,Health and Hygiene,96.443603515625,OUT018,2009,Medium,Tier 3,Supermarket Type2,2741.7644
20,FDP33,18.700000762939453,Low Fat,0.0,Snack Foods,256.6672058105469,OUT018,2009,Medium,Tier 3,Supermarket Type2,3068.0064
21,DRH01,17.5,Low Fat,0.097904029,Soft Drinks,174.87379455566406,OUT046,1997,Small,Tier 1,Supermarket Type1,2085.2856
22,NCX29,10.0,Low Fat,0.089291137,Health and Hygiene,146.710205078125,OUT049,1999,Medium,Tier 1,Supermarket Type1,3791.0652
23,DRZ11,8.850000381469727,Regular,0.113123893,Soft Drinks,122.53880310058594,OUT018,2009,Medium,Tier 3,Supermarket Type2,1609.9044
24,FDU02,13.350000381469727,Low Fat,0.102511504,Dairy,230.63519287109375,OUT046,1997,Small,Tier 1,Supermarket Type1,3435.528
25,FDK43,9.800000190734863,Low Fat,0.02681843,Meat,126.00199890136719,OUT013,1987,High,Tier 3,Supermarket Type1,2150.534
26,FDA46,13.600000381469727,Low Fat,0.117818348,Snack Foods,192.91360473632812,OUT049,1999,Medium,Tier 1,Supermarket Type1,2527.3768
27,FDC02,21.350000381469727,Low Fat,0.069102831,Canned,259.92779541015625,OUT018,2009,Medium,Tier 3,Supermarket Type2,6768.5228
28,FDL50,12.149999618530273,Regular,0.042277867,Canned,126.50460052490234,OUT013,1987,High,Tier 3,Supermarket Type1,373.5138
29,FDL12,15.850000381469727,Regular,0.121632721,Baking Goods,60.62200164794922,OUT046,1997,Small,Tier 1,Supermarket Type1,2576.646
30,NCL17,7.389999866485596,Low Fat,0.067779712,Health and Hygiene,143.88119506835938,OUT046,1997,Small,Tier 1,Supermarket Type1,3134.5864
31,FDM40,10.194999694824219,Low Fat,0.159803853,Frozen Foods,141.51539611816406,OUT013,1987,High,Tier 3,Supermarket Type1,850.8924
32,FDR13,9.895000457763672,Regular,0.028696932,Canned,117.04920196533203,OUT013,1987,High,Tier 3,Supermarket Type1,810.9444
33,FDK21,7.90500020980835,Low Fat,0.010053105,Snack Foods,249.04080200195312,OUT018,2009,Medium,Tier 3,Supermarket Type2,6258.52
34,DRK35,8.364999771118164,Low Fat,0.071958197,Hard Drinks,38.05059814453125,OUT049,1999,Medium,Tier 1,Supermarket Type1,796.9626
35,FDY21,15.100000381469727,Low Fat,0.173481304,Snack Foods,194.51100158691406,OUT046,1997,Small,Tier 1,Supermarket Type1,4910.275
36,FDM20,10.0,Low Fat,0.0,Fruits and Vegetables,246.91439819335938,OUT018,2009,Medium,Tier 3,Supermarket Type2,3185.1872
37,FDH19,19.350000381469727,Low Fat,0.033082215,Meat,172.5738067626953,OUT035,2004,Small,Tier 2,Supermarket Type1,4865.6664
38,NCI17,8.645000457763672,Low Fat,0.143422643,Health and Hygiene,95.84100341796875,OUT046,1997,Small,Tier 1,Supermarket Type1,2027.361
39,FDJ58,15.600000381469727,Regular,0.105296072,Snack Foods,170.17640686035156,OUT046,1997,Small,Tier 1,Supermarket Type1,3435.528
40,FDL12,15.850000381469727,Regular,0.121531501,Baking Goods,59.22200012207031,OUT013,1987,High,Tier 3,Supermarket Type1,599.22
41,NCZ18,7.824999809265137,low fat,0.186357148,Household,254.3697967529297,OUT049,1999,Medium,Tier 1,Supermarket Type1,5580.7356
42,FDC29,8.390000343322754,Regular,0.024205661,Frozen Foods,114.0176010131836,OUT046,1997,Small,Tier 1,Supermarket Type1,2290.352
43,FDQ10,12.850000381469727,Low Fat,0.033230816,Snack Foods,172.34219360351562,OUT049,1999,Medium,Tier 1,Supermarket Type1,1207.0954
44,FDD58,7.760000228881836,Low Fat,0.059352241,Snack Foods,101.87000274658203,OUT046,1997,Small,Tier 1,Supermarket Type1,1697.79
45,FDN04,11.800000190734863,reg,0.014087057,Frozen Foods,180.3343963623047,OUT046,1997,Small,Tier 1,Supermarket Type1,1427.4752
46,FDV45,16.75,low fat,0.045230944,Snack Foods,187.95559692382812,OUT018,2009,Medium,Tier 3,Supermarket Type2,4693.89
47,FDZ55,6.054999828338623,Low Fat,0.025403898,Fruits and Vegetables,160.99200439453125,OUT035,2004,Small,Tier 2,Supermarket Type1,2716.464
48,FDN33,6.304999828338623,Regular,0.123115764,Snack Foods,95.64360046386719,OUT046,1997,Small,Tier 1,Supermarket Type1,661.8052
49,FDN27,20.850000381469727,Low Fat,0.039624006,Meat,117.28079986572266,OUT049,1999,Medium,Tier 1,Supermarket Type1,1523.3504
50,DRG27,8.895000457763672,Low Fat,0.105274111,Dairy,39.91379928588867,OUT049,1999,Medium,Tier 1,Supermarket Type1,690.4346
51,FDA44,19.700000762939453,Low Fat,0.053212652,Fruits and Vegetables,57.893001556396484,OUT035,2004,Small,Tier 2,Supermarket Type1,622.523
52,NCR17,9.800000190734863,Low Fat,0.024378706,Health and Hygiene,114.54920196533203,OUT035,2004,Small,Tier 2,Supermarket Type1,1274.3412
53,FDF41,12.149999618530273,Low Fat,0.131383762,Frozen Foods,246.04600524902344,OUT049,1999,Medium,Tier 1,Supermarket Type1,1231.73
54,FDB56,8.75,Regular,0.07461309,Fruits and Vegetables,187.45559692382812,OUT035,2004,Small,Tier 2,Supermarket Type1,3755.112
55,FDB56,8.75,Regular,0.074627201,Fruits and Vegetables,187.85560607910156,OUT046,1997,Small,Tier 1,Supermarket Type1,1314.2892
56,FDW57,8.3100004196167,Regular,0.115857223,Snack Foods,179.10279846191406,OUT049,1999,Medium,Tier 1,Supermarket Type1,3896.2616
57,DRB48,16.75,Regular,0.024832806,Soft Drinks,38.78219985961914,OUT013,1987,High,Tier 3,Supermarket Type1,667.7974
58,FDP09,19.75,Low Fat,0.034027909,Snack Foods,212.09019470214844,OUT018,2009,Medium,Tier 3,Supermarket Type2,3185.853
59,FDH14,17.100000381469727,Regular,0.0467696,Canned,141.18380737304688,OUT013,1987,High,Tier 3,Supermarket Type1,2247.7408
60,FDA47,10.5,Regular,0.116576702,Baking Goods,163.12100219726562,OUT013,1987,High,Tier 3,Supermarket Type1,1794.331
61,DRK49,14.149999618530273,Low Fat,0.035913805,Soft Drinks,41.41379928588867,OUT013,1987,High,Tier 3,Supermarket Type1,812.276
62,FDD03,13.300000190734863,Low Fat,0.079806266,Dairy,232.52999877929688,OUT046,1997,Small,Tier 1,Supermarket Type1,699.09
63,FDD17,7.5,Low Fat,0.032677678,Frozen Foods,239.09060668945312,OUT049,1999,Medium,Tier 1,Supermarket Type1,5942.265
64,FDZ46,7.485000133514404,Low Fat,0.06911065,Snack Foods,109.02279663085938,OUT035,2004,Small,Tier 2,Supermarket Type1,2542.0244
65,FDY58,11.649999618530273,Low Fat,0.040081193,Snack Foods,227.06939697265625,OUT018,2009,Medium,Tier 3,Supermarket Type2,1141.847
66,FDJ38,8.600000381469727,Regular,0.040197932,Canned,190.1529998779297,OUT035,2004,Small,Tier 2,Supermarket Type1,3036.048
67,FDL40,17.700000762939453,Low Fat,0.01161096,Frozen Foods,95.04100036621094,OUT035,2004,Small,Tier 2,Supermarket Type1,868.869
68,DRI49,14.149999618530273,Low Fat,0.183507295,Soft Drinks,82.42759704589844,OUT046,1997,Small,Tier 1,Supermarket Type1,1137.1864
69,DRG23,8.880000114440918,Low Fat,0.086708987,Hard Drinks,151.76820373535156,OUT013,1987,High,Tier 3,Supermarket Type1,762.341
70,NCH54,13.5,Low Fat,0.07266912,Household,160.29200744628906,OUT046,1997,Small,Tier 1,Supermarket Type1,1438.128
71,FDG02,7.855000019073486,Low Fat,0.011307038,Canned,188.518798828125,OUT018,2009,Medium,Tier 3,Supermarket Type2,952.094
72,NCO26,7.235000133514404,Low Fat,0.076855628,Household,116.04920196533203,OUT046,1997,Small,Tier 1,Supermarket Type1,1969.4364
73,NCC31,8.020000457763672,Low Fat,0.019866705,Household,154.59719848632812,OUT035,2004,Small,Tier 2,Supermarket Type1,1402.1748
74,NCC30,16.600000381469727,Low Fat,0.027622076,Household,177.6343994140625,OUT049,1999,Medium,Tier 1,Supermarket Type1,2676.516
75,FDI16,14.0,Regular,0.0,Frozen Foods,53.06399917602539,OUT035,2004,Small,Tier 2,Supermarket Type1,905.488
76,FDP16,18.600000381469727,Low Fat,0.039355947,Frozen Foods,246.3802032470703,OUT049,1999,Medium,Tier 1,Supermarket Type1,7370.406
77,FDB11,16.0,Low Fat,0.060836524,Starchy Foods,226.84039306640625,OUT035,2004,Small,Tier 2,Supermarket Type1,6301.1312
78,NCB06,17.600000381469727,Low Fat,0.082316506,Health and Hygiene,160.69200134277344,OUT035,2004,Small,Tier 2,Supermarket Type1,1597.92
79,FDA45,21.25,Low Fat,0.155350299,Snack Foods,178.23699951171875,OUT035,2004,Small,Tier 2,Supermarket Type1,529.311
80,NCO26,7.235000133514404,Low Fat,0.076841095,Household,117.54920196533203,OUT035,2004,Small,Tier 2,Supermarket Type1,1969.4364
81,FDR28,13.850000381469727,reg,0.026001976,Frozen Foods,161.52099609375,OUT018,2009,Medium,Tier 3,Supermarket Type2,1794.331
82,FDI04,13.649999618530273,Regular,0.073209447,Frozen Foods,197.64259338378906,OUT018,2009,Medium,Tier 3,Supermarket Type2,2768.3964
83,FDX20,7.364999771118164,Low Fat,0.042560252,Fruits and Vegetables,226.1719970703125,OUT046,1997,Small,Tier 1,Supermarket Type1,3169.208
84,NCI18,18.350000381469727,Low Fat,0.014081156,Household,223.57460021972656,OUT018,2009,Medium,Tier 3,Supermarket Type2,3589.9936
85,FDB36,5.465000152587891,Regular,0.0,Baking Goods,132.56260681152344,OUT018,2009,Medium,Tier 3,Supermarket Type2,262.3252
86,FDQ28,14.0,Regular,0.060376776,Frozen Foods,154.5655975341797,OUT013,1987,High,Tier 3,Supermarket Type1,2471.4496
87,FDM22,14.0,Regular,0.04192285,Snack Foods,54.763999938964844,OUT013,1987,High,Tier 3,Supermarket Type1,1331.6
88,FDV25,5.90500020980835,Low Fat,0.045838211,Canned,222.54559326171875,OUT018,2009,Medium,Tier 3,Supermarket Type2,3315.684
89,DRF49,7.269999980926514,Low Fat,0.071077939,Soft Drinks,114.25180053710938,OUT046,1997,Small,Tier 1,Supermarket Type1,2618.5914
90,FDW51,6.15500020980835,Regular,0.094659871,Meat,214.55599975585938,OUT046,1997,Small,Tier 1,Supermarket Type1,2769.728
91,FDL50,12.149999618530273,Regular,0.042485444,Canned,125.00460052490234,OUT018,2009,Medium,Tier 3,Supermarket Type2,1743.0644
92,FDW11,12.600000381469727,Low Fat,0.0489808,Breads,61.91939926147461,OUT018,2009,Medium,Tier 3,Supermarket Type2,619.194
93,NCM43,14.5,Low Fat,0.019471688,Others,164.8209991455078,OUT035,2004,Small,Tier 2,Supermarket Type1,2120.573
94,FDM15,11.800000190734863,Regular,0.057373797,Meat,151.4365997314453,OUT013,1987,High,Tier 3,Supermarket Type1,1360.2294
95,FDS31,13.100000381469727,Regular,0.044155597,Fruits and Vegetables,178.83180236816406,OUT013,1987,High,Tier 3,Supermarket Type1,3969.4996
96,FDU50,5.75,Regular,0.075107656,Dairy,112.81759643554688,OUT013,1987,High,Tier 3,Supermarket Type1,1374.2112
97,FDK58,11.350000381469727,Regular,0.045165796,Snack Foods,100.00160217285156,OUT018,2009,Medium,Tier 3,Supermarket Type2,1012.016
98,NCW29,14.0,Low Fat,0.028907832,Health and Hygiene,130.43099975585938,OUT049,1999,Medium,Tier 1,Supermarket Type1,778.986
99,NCB19,6.525000095367432,Low Fat,0.090436094,Household,85.08820343017578,OUT049,1999,Medium,Tier 1,Supermarket Type1,2233.0932
100,FDV15,10.300000190734863,Low Fat,0.146399712,Meat,103.96479797363281,OUT049,1999,Medium,Tier 1,Supermarket Type1,1661.8368
101,FDL58,5.78000020980835,Regular,0.074264356,Snack Foods,264.7568054199219,OUT049,1999,Medium,Tier 1,Supermarket Type1,4745.8224
102,FDT43,16.350000381469727,Low Fat,0.020631654,Fruits and Vegetables,50.13240051269531,OUT018,2009,Medium,Tier 3,Supermarket Type2,467.3916
103,FDT20,10.5,Low Fat,0.041395445,Fruits and Vegetables,37.61640167236328,OUT046,1997,Small,Tier 1,Supermarket Type1,540.6296
104,FDB41,19.0,Regular,0.097313129,Frozen Foods,48.071800231933594,OUT046,1997,Small,Tier 1,Supermarket Type1,992.7078
105,NCN55,14.600000381469727,Low Fat,0.059582996,Others,238.8538055419922,OUT049,1999,Medium,Tier 1,Supermarket Type1,6008.845
106,FDE36,5.260000228881836,Regular,0.041764487,Baking Goods,161.8867950439453,OUT035,2004,Small,Tier 2,Supermarket Type1,3275.736
107,FDI19,15.100000381469727,Low Fat,0.052339069,Meat,242.75120544433594,OUT046,1997,Small,Tier 1,Supermarket Type1,4119.9704
108,FDG52,13.649999618530273,Low Fat,0.065732883,Frozen Foods,45.74020004272461,OUT049,1999,Medium,Tier 1,Supermarket Type1,780.9834
109,DRK12,9.5,LF,0.041878397,Soft Drinks,32.9900016784668,OUT035,2004,Small,Tier 2,Supermarket Type1,133.16
110,DRC27,13.800000190734863,Low Fat,0.058091482,Dairy,245.18020629882812,OUT035,2004,Small,Tier 2,Supermarket Type1,5650.6446
111,FDX15,17.200000762939453,Low Fat,0.15616879,Meat,160.65780639648438,OUT013,1987,High,Tier 3,Supermarket Type1,3690.5294
112,FDA39,6.320000171661377,LF,0.0,Meat,40.28219985961914,OUT035,2004,Small,Tier 2,Supermarket Type1,1139.1838
113,FDY24,4.880000114440918,Regular,0.133700752,Baking Goods,52.9297981262207,OUT049,1999,Medium,Tier 1,Supermarket Type1,1995.4026
114,FDH28,15.850000381469727,Regular,0.110030997,Frozen Foods,37.2505989074707,OUT046,1997,Small,Tier 1,Supermarket Type1,265.6542
115,DRJ13,12.649999618530273,Low Fat,0.062837968,Soft Drinks,161.55780029296875,OUT013,1987,High,Tier 3,Supermarket Type1,2406.867
116,FDW20,20.75,Low Fat,0.024129332,Fruits and Vegetables,124.1729965209961,OUT013,1987,High,Tier 3,Supermarket Type1,2956.152
117,FDS49,9.0,Low Fat,0.0,Canned,79.76439666748047,OUT035,2004,Small,Tier 2,Supermarket Type1,1649.8524
118,FDF14,7.550000190734863,Low Fat,0.027164679,Canned,152.33399963378906,OUT035,2004,Small,Tier 2,Supermarket Type1,2603.278
119,NCD06,13.0,Low Fat,0.099325278,Household,45.40599822998047,OUT046,1997,Small,Tier 1,Supermarket Type1,605.878
120,FDB35,12.300000190734863,Regular,0.064565202,Starchy Foods,92.98040008544922,OUT013,1987,High,Tier 3,Supermarket Type1,1929.4884
121,NCU41,18.850000381469727,Low Fat,0.052044976,Health and Hygiene,192.18460083007812,OUT035,2004,Small,Tier 2,Supermarket Type1,3248.4382
122,DRJ51,14.100000381469727,Low Fat,0.087977262,Dairy,229.06680297851562,OUT035,2004,Small,Tier 2,Supermarket Type1,3225.1352
123,FDK21,7.90500020980835,Low Fat,0.010010425,Snack Foods,249.04080200195312,OUT035,2004,Small,Tier 2,Supermarket Type1,3755.112
124,FDY25,12.0,Low Fat,0.033946163,Canned,179.39759826660156,OUT013,1987,High,Tier 3,Supermarket Type1,3440.8544
125,FDU44,12.149999618530273,Regular,0.058414678,Fruits and Vegetables,163.4552001953125,OUT035,2004,Small,Tier 2,Supermarket Type1,974.7312
126,FDL43,10.100000381469727,Low Fat,0.027106459,Meat,75.36699676513672,OUT049,1999,Medium,Tier 1,Supermarket Type1,535.969
127,FDL20,17.100000381469727,Low Fat,0.128937661,Fruits and Vegetables,112.38860321044922,OUT018,2009,Medium,Tier 3,Supermarket Type2,1779.0176
128,FDV32,7.784999847412109,Low Fat,0.088846306,Fruits and Vegetables,61.45100021362305,OUT049,1999,Medium,Tier 1,Supermarket Type1,759.012
129,FDJ34,11.800000190734863,Regular,0.09357779,Snack Foods,125.97039794921875,OUT013,1987,High,Tier 3,Supermarket Type1,1877.556
130,NCI17,8.645000457763672,Low Fat,0.143303291,Health and Hygiene,96.34100341796875,OUT013,1987,High,Tier 3,Supermarket Type1,193.082
131,FDJ55,12.800000190734863,Regular,0.023511371,Meat,225.94039916992188,OUT013,1987,High,Tier 3,Supermarket Type1,4950.8888
132,DRK01,7.630000114440918,Low Fat,0.06105276,Soft Drinks,95.443603515625,OUT035,2004,Small,Tier 2,Supermarket Type1,1418.154
133,NCR54,16.350000381469727,Low Fat,0.090486828,Household,195.21099853515625,OUT013,1987,High,Tier 3,Supermarket Type1,2553.343
134,FDG29,17.600000381469727,Low Fat,0.056245075,Frozen Foods,43.345401763916016,OUT013,1987,High,Tier 3,Supermarket Type1,1006.6896
135,FDG24,7.974999904632568,Low Fat,0.014618973,Baking Goods,85.2249984741211,OUT013,1987,High,Tier 3,Supermarket Type1,1081.925
136,FDM28,15.699999809265137,Low Fat,0.045166237,Frozen Foods,178.66600036621094,OUT013,1987,High,Tier 3,Supermarket Type1,2516.724
137,FDW04,8.984999656677246,Regular,0.057827101,Frozen Foods,128.83099365234375,OUT046,1997,Small,Tier 1,Supermarket Type1,1428.141
138,FDS26,20.350000381469727,Low Fat,0.089394766,Dairy,260.1593933105469,OUT013,1987,High,Tier 3,Supermarket Type1,2093.2752
139,FDQ56,6.590000152587891,Low Fat,0.10550944,Fruits and Vegetables,85.69080352783203,OUT013,1987,High,Tier 3,Supermarket Type1,1929.4884
140,FDK51,19.850000381469727,Low Fat,0.005234153,Dairy,264.0884094238281,OUT035,2004,Small,Tier 2,Supermarket Type1,5829.7448
141,FDL22,16.850000381469727,Low Fat,0.036390174,Snack Foods,91.44879913330078,OUT046,1997,Small,Tier 1,Supermarket Type1,2082.6224
142,FDY55,16.75,Low Fat,0.081252534,Fruits and Vegetables,256.4988098144531,OUT013,1987,High,Tier 3,Supermarket Type1,7452.9652
143,FDZ32,7.784999847412109,Regular,0.038288087,Fruits and Vegetables,103.19640350341797,OUT018,2009,Medium,Tier 3,Supermarket Type2,736.3748
144,NCZ18,7.824999809265137,Low Fat,0.186032678,Household,253.06979370117188,OUT035,2004,Small,Tier 2,Supermarket Type1,6088.0752
145,FDT39,6.260000228881836,Regular,0.009866049,Meat,151.1365966796875,OUT035,2004,Small,Tier 2,Supermarket Type1,2267.049
146,NCD06,13.0,Low Fat,0.099729888,Household,46.305999755859375,OUT018,2009,Medium,Tier 3,Supermarket Type2,559.272
147,FDB57,20.25,Regular,0.018801549,Fruits and Vegetables,222.1772003173828,OUT035,2004,Small,Tier 2,Supermarket Type1,5559.43
148,NCT54,8.694999694824219,Low Fat,0.119721451,Household,95.5093994140625,OUT049,1999,Medium,Tier 1,Supermarket Type1,1237.7222
149,FDH27,7.074999809265137,Low Fat,0.05858462,Dairy,142.71279907226562,OUT018,2009,Medium,Tier 3,Supermarket Type2,1869.5664
150,FDY59,8.194999694824219,Low Fat,0.031452265,Baking Goods,94.34619903564453,OUT049,1999,Medium,Tier 1,Supermarket Type1,925.462
151,FDK36,7.090000152587891,Low Fat,0.00721395,Baking Goods,47.90340042114258,OUT035,2004,Small,Tier 2,Supermarket Type1,583.2408
152,NCM31,6.09499979019165,Low Fat,0.081196619,Others,141.4154052734375,OUT046,1997,Small,Tier 1,Supermarket Type1,1418.154
153,FDU36,6.150000095367432,Low Fat,0.04627095,Baking Goods,99.3384017944336,OUT046,1997,Small,Tier 1,Supermarket Type1,2364.9216
154,NCQ54,17.700000762939453,Low Fat,0.012540003,Household,167.04739379882812,OUT035,2004,Small,Tier 2,Supermarket Type1,5895.659
155,FDO23,17.850000381469727,Low Fat,0.147023834,Breads,93.74359893798828,OUT018,2009,Medium,Tier 3,Supermarket Type2,1134.5232
156,FDR04,7.074999809265137,Low Fat,0.0,Frozen Foods,98.00679779052734,OUT018,2009,Medium,Tier 3,Supermarket Type2,874.8612
157,FDX23,6.445000171661377,Low Fat,0.029691762,Baking Goods,92.64360046386719,OUT046,1997,Small,Tier 1,Supermarket Type1,1039.9796
158,FDX19,19.100000381469727,Low Fat,0.096715523,Fruits and Vegetables,235.09579467773438,OUT035,2004,Small,Tier 2,Supermarket Type1,3038.0454
159,FDD40,20.25,Regular,0.014790559,Dairy,193.61619567871094,OUT035,2004,Small,Tier 2,Supermarket Type1,3848.324
160,FDA01,15.0,Regular,0.054378253,Canned,59.190399169921875,OUT046,1997,Small,Tier 1,Supermarket Type1,527.3136
161,FDS33,6.670000076293945,Regular,0.123428594,Snack Foods,89.15139770507812,OUT046,1997,Small,Tier 1,Supermarket Type1,2390.8878
162,FDB29,16.700000762939453,Regular,0.052368061,Frozen Foods,112.71759796142578,OUT013,1987,High,Tier 3,Supermarket Type1,801.6232
163,FDX36,9.694999694824219,Regular,0.12848269,Baking Goods,223.94039916992188,OUT049,1999,Medium,Tier 1,Supermarket Type1,4950.8888
164,FDB45,20.850000381469727,Low Fat,0.021362955,Fruits and Vegetables,103.23059844970703,OUT049,1999,Medium,Tier 1,Supermarket Type1,2404.2038
165,FDV51,16.350000381469727,Low Fat,0.032511818,Meat,165.08419799804688,OUT013,1987,High,Tier 3,Supermarket Type1,994.7052
166,DRH39,20.700000762939453,Low Fat,0.09261307,Dairy,76.36699676513672,OUT013,1987,High,Tier 3,Supermarket Type1,306.268
167,NCO43,5.5,Low Fat,0.04709821,Others,101.30159759521484,OUT046,1997,Small,Tier 1,Supermarket Type1,3339.6528
168,FDR24,17.350000381469727,Regular,0.062799379,Baking Goods,88.18299865722656,OUT013,1987,High,Tier 3,Supermarket Type1,539.298
169,NCY18,7.284999847412109,Low Fat,0.031125709,Household,174.30540466308594,OUT013,1987,High,Tier 3,Supermarket Type1,4377.635
170,DRI37,15.850000381469727,Low Fat,0.107765165,Soft Drinks,59.59040069580078,OUT049,1999,Medium,Tier 1,Supermarket Type1,703.0848
171,FDL27,6.170000076293945,Low Fat,0.010647477,Meat,66.38259887695312,OUT049,1999,Medium,Tier 1,Supermarket Type1,1937.478
172,NCO30,19.5,Low Fat,0.015749341,Household,182.26080322265625,OUT049,1999,Medium,Tier 1,Supermarket Type1,3307.6944
173,NCB07,19.200000762939453,Low Fat,0.077628053,Household,197.61099243164062,OUT049,1999,Medium,Tier 1,Supermarket Type1,3142.576
174,FDX25,16.700000762939453,Low Fat,0.0,Canned,181.2292022705078,OUT018,2009,Medium,Tier 3,Supermarket Type2,2554.0088
175,FDP59,20.850000381469727,Regular,0.056695731,Breads,104.0647964477539,OUT018,2009,Medium,Tier 3,Supermarket Type2,1869.5664
176,FDT27,11.395000457763672,Regular,0.069529262,Meat,233.16160583496094,OUT013,1987,High,Tier 3,Supermarket Type1,6093.4016
177,DRI01,7.96999979019165,Low Fat,0.034452949,Soft Drinks,174.04220581054688,OUT046,1997,Small,Tier 1,Supermarket Type1,2586.633
178,FDU09,7.710000038146973,Regular,0.06670068,Snack Foods,55.29560089111328,OUT049,1999,Medium,Tier 1,Supermarket Type1,1255.6988
179,FDH26,19.25,Regular,0.034699737,Canned,141.74960327148438,OUT046,1997,Small,Tier 1,Supermarket Type1,4093.3384
180,FDH27,7.074999809265137,Low Fat,0.058346939,Dairy,142.21279907226562,OUT046,1997,Small,Tier 1,Supermarket Type1,3163.8816
181,FDH40,11.600000381469727,Regular,0.078929571,Frozen Foods,79.92759704589844,OUT046,1997,Small,Tier 1,Supermarket Type1,1137.1864
182,DRN47,12.100000381469727,Low Fat,0.016895293,Hard Drinks,178.5659942626953,OUT018,2009,Medium,Tier 3,Supermarket Type2,898.83
183,NCO17,10.0,Low Fat,0.073379745,Health and Hygiene,118.24400329589844,OUT046,1997,Small,Tier 1,Supermarket Type1,2756.412
184,FDT22,10.395000457763672,Low Fat,0.112271498,Snack Foods,58.22200012207031,OUT049,1999,Medium,Tier 1,Supermarket Type1,659.142
185,FDG45,8.100000381469727,Low Fat,0.127929521,Fruits and Vegetables,211.49020385742188,OUT013,1987,High,Tier 3,Supermarket Type1,3610.6334
186,FDD44,8.050000190734863,Regular,0.07838564,Fruits and Vegetables,256.464599609375,OUT035,2004,Small,Tier 2,Supermarket Type1,5153.292
187,FDL51,20.700000762939453,Regular,0.047684831,Dairy,212.5876007080078,OUT018,2009,Medium,Tier 3,Supermarket Type2,1286.3256
188,FDX09,9.0,Low Fat,0.065236932,Snack Foods,176.43699645996094,OUT035,2004,Small,Tier 2,Supermarket Type1,7763.228
189,FDO51,6.784999847412109,Regular,0.041947547,Meat,41.21120071411133,OUT013,1987,High,Tier 3,Supermarket Type1,809.6128
190,FDW49,19.5,Low Fat,0.082888496,Canned,178.60020446777344,OUT018,2009,Medium,Tier 3,Supermarket Type2,1253.7014
191,FDB27,7.574999809265137,Low Fat,0.055390121,Dairy,195.27679443359375,OUT046,1997,Small,Tier 1,Supermarket Type1,5715.2272
192,FDF45,18.200000762939453,Regular,0.012194556,Fruits and Vegetables,57.790401458740234,OUT013,1987,High,Tier 3,Supermarket Type1,1464.76
